1798, 0.02, 0.36, -0.85, -34.62, -41.07, 20.75, 290.33
1806, 0.13, 0.40, -0.99, -41.60, 8.58, 17.66, 290.33
1888, 0.21, 0.42, -0.96, 28.32, 10.26, 25.74, 290.80
1897, 0.11, 0.31, -0.87, 17.03, -4.73, 6.02, 290.80
1906, 0.21, 0.40, -1.00, 13.15, 5.56, 5.76, 291.49
1914, 0.16, 0.33, -0.89, 13.03, -5.02, 24.23, 291.49
1923, 0.13, 0.35, -0.99, 3.53, 0.45, -3.06, 291.49
1931, 0.18, 0.31, -0.93, 14.28, 10.50, 7.78, 291.49
1940, 0.14, 0.31, -0.98, -3.33, -1.82, -10.17, 291.48
1949, 0.19, 0.34, -0.95, -4.73, 6.41, -9.27, 291.48
1957, 0.20, 0.33, -0.95, 3.16, 12.92, -4.40, 291.48
1966, 0.22, 0.35, -0.99, -9.38, 6.79, -10.90, 291.48
1974, 0.13, 0.37, -0.93, 1.75, 2.05, -0.89, 291.27
1983, 0.17, 0.35, -0.93, 6.11, 12.69, -8.44, 291.27
1992, 0.26, 0.40, -1.02, 8.73, 13.71, 2.40, 291.27
2000, 0.22, 0.27, -0.92, 27.22, 14.28, 10.23, 291.27
2009, 0.23, 0.27, -0.98, 7.82, 4.11, 10.11, 291.41
2018, 0.21, 0.27, -0.95, 5.68, 6.63, 16.76, 291.41
2026, 0.19, 0.24, -0.91, 13.26, 12.05, 6.20, 291.41
2058, 0.21, 0.31, -0.97, 1.06, 6.24, -4.24, 290.87
2121, 0.29, 0.34, -0.98, 11.49, 8.74, -1.44, 291.98
2130, 0.21, 0.26, -0.92, 2.13, 4.31, 14.64, 291.98
2163, 0.27, 0.32, -1.01, -5.12, 13.22, -7.10, 291.95
2197, 0.29, 0.25, -0.96, 11.10, 10.17, -11.24, 292.39
2233, 0.22, 0.27, -0.90, -1.03, 9.89, -1.64, 293.52
2268, 0.25, 0.30, -0.95, -5.08, 13.53, -11.70, 294.50
2303, 0.29, 0.26, -0.98, 8.08, 23.56, -35.37, 295.80
2337, 0.35, 0.23, -0.93, 10.79, 26.57, -6.53, 297.62
2372, 0.36, 0.31, -1.01, -8.29, 6.17, 2.44, 298.57
2408, 0.38, 0.27, -0.97, 3.41, 2.15, -16.03, 299.37
2443, 0.38, 0.29, -0.94, -4.40, 0.92, -20.39, 300.39
2477, 0.27, 0.31, -0.91, -2.33, 1.76, -0.63, 301.08
