1490, -0.05, 0.02, -1.01, -0.30, -1.77, 0.06, -7.65, 80.42, -21.46
1573, -0.05, 0.01, -0.98, -0.43, -1.52, -0.73, -9.30, 79.22, -19.20
1582, -0.06, 0.03, -1.06, -1.34, -4.02, -0.49, -8.55, 79.52, -19.95
1591, -0.05, 0.00, -0.96, 0.00, 3.11, -0.55, -8.70, 80.42, -20.41
1600, -0.07, 0.02, -1.03, -0.55, -3.72, -0.30, -8.40, 81.62, -20.86
1610, -0.06, 0.00, -1.02, -0.30, 0.61, -0.30, -8.70, 80.12, -21.16
1619, -0.05, 0.01, -1.03, -0.06, -2.44, 0.18, -8.70, 78.92, -20.86
1628, -0.07, 0.01, -0.96, -0.55, -1.46, -0.98, -7.65, 79.37, -20.86
1637, -0.07, 0.02, -1.00, -0.06, -0.79, 0.67, -7.95, 80.12, -21.16
1647, -0.06, 0.02, -1.02, -0.55, -2.20, -1.34, -8.10, 79.52, -21.61
1656, -0.06, 0.03, -1.02, 0.24, 0.18, 0.73, -9.15, 78.92, -21.16
1665, -0.05, 0.02, -1.04, -0.61, -1.89, -1.16, -9.15, 78.92, -21.16
1675, -0.06, 0.01, -1.01, 0.12, -1.16, 0.30, -8.85, 79.52, -21.01
1684, -0.07, 0.02, -1.02, -0.30, -1.28, -0.61, -8.70, 78.92, -20.41
1693, -0.05, -0.00, -1.01, -0.18, -1.65, -0.49, -8.85, 79.97, -20.56
1736, -0.06, 0.04, -1.00, -0.30, -2.20, -0.12, -8.10, 79.22, -20.56
1745, -0.06, 0.00, -1.01, -0.43, -0.73, -0.91, -8.10, 79.22, -20.56
1754, -0.06, 0.01, -1.01, -0.06, -0.85, 0.12, -10.05, 79.52, -21.01
1763, -0.06, 0.02, -1.01, -0.43, -0.98, -0.49, -9.45, 79.67, -21.91
1773, -0.05, 0.01, -1.02, -0.18, -1.10, -0.24, -9.30, 81.02, -21.31
1782, -0.06, 0.02, -1.00, -0.24, -1.59, -0.18, -9.30, 79.52, -22.36
1791, -0.05, 0.02, -1.01, -0.30, -1.34, -0.61, -8.85, 79.97, -22.66
1800, -0.05, 0.02, -1.01, -0.24, -1.77, -0.12, -9.15, 79.67, -22.51
1809, -0.05, 0.02, -1.02, -0.30, -0.91, -0.49, -10.35, 78.77, -20.26
1818, -0.05, 0.01, -1.01, -0.30, -1.28, -0.43, -8.55, 80.27, -20.26
1828, -0.06, 0.02, -1.02, -0.18, -1.77, 0.00, -10.20, 79.67, -22.21
1837, -0.06, 0.02, -1.01, -0.30, -1.22, -0.73, -8.70, 81.62, -21.46
1846, -0.06, 0.02, -1.02, -0.24, -1.34, 0.00, -8.70, 80.12, -22.51
1855, -0.06, 0.02, -1.02, -0.43, -1.22, -0.61, -8.70, 80.12, -22.51
1883, -0.06, 0.01, -1.02, -0.37, -1.34, -0.43, -9.30, 78.47, -19.20
1892, -0.06, 0.02, -1.02, -0.24, -1.52, -0.12, -8.40, 79.37, -20.11
1901, -0.05, 0.01, -1.01, -0.43, -1.28, -0.61, -9.30, 79.97, -22.06
1910, -0.06, 0.02, -1.02, -0.12, -1.22, 0.00, -10.05, 80.57, -20.26
1919, -0.06, 0.02, -1.02, -0.37, -1.04, -0.55, -10.05, 79.22, -20.56
1929, -0.06, 0.01, -1.02, -0.24, -1.34, -0.30, -10.95, 80.42, -20.41
1938, -0.07, 0.02, -1.03, -0.18, -1.59, 0.00, -10.20, 79.37, -21.46
1947, -0.06, 0.01, -1.01, -0.30, -1.28, -0.67, -8.40, 81.17, -20.41
1956, -0.06, 0.02, -1.01, -0.24, -1.52, 0.00, -8.40, 80.87, -19.35
1965, -0.07, 0.02, -1.00, -0.18, -1.10, -0.49, -8.40, 80.87, -19.35
1974, -0.06, 0.01, -1.00, -0.24, -1.28, -0.37, -8.85, 79.52, -21.31
1983, -0.06, 0.02, -1.02, -0.24, -1.52, -0.12, -8.85, 80.27, -20.26
1993, -0.06, 0.02, -1.02, -0.30, -1.40, -0.67, -8.10, 80.27, -21.61
2002, -0.06, 0.01, -1.01, -0.18, -1.22, -0.18, -9.45, 78.92, -20.41
2029, -0.06, 0.02, -1.02, -0.30, -1.16, -0.30, -10.05, 79.97, -22.36
2039, -0.05, 0.01, -1.01, -0.24, -1.22, -0.55, -7.95, 80.87, -21.16
